train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/ent_coef_loss,time/episodes,train/n_updates,train/actor_loss,time/total_timesteps,rollout/ep_len_mean,train/learning_rate
0.004410271532833576,-3.89196007,12573,3,0.0861305445432663,-0.30962473154067993,748,41125,2.371742010116577,41226,42.45,0.0003
0.004465676844120026,-3.9543860799999995,12603,3,0.02020496502518654,1.7757501602172852,752,41300,2.3081412315368652,41401,42.88,0.0003
0.004479058552533388,-3.985290319999999,12632,3,0.07693561911582947,0.6253199577331543,756,41476,2.30849027633667,41577,42.77,0.0003
0.004443098325282335,-4.1056963799999995,12674,3,0.07461801171302795,0.7747024297714233,760,41722,2.293865919113159,41823,43.81,0.0003
0.0045132823288440704,-4.016261320000001,12699,3,0.025486420840024948,0.47589340806007385,764,41869,2.3647701740264893,41970,43.39,0.0003
0.0045896186493337154,-4.173393259999999,12738,3,0.05401354283094406,0.39479607343673706,768,42097,2.395657777786255,42198,44.18,0.0003
0.0046384502202272415,-4.2737488,12770,3,0.07800576835870743,0.6180996894836426,772,42290,2.369154214859009,42391,44.56,0.0003
0.004604210611432791,-4.308580989999999,12803,3,0.06066148728132248,-0.08497321605682373,776,42479,2.3168792724609375,42580,44.7,0.0003
0.004602204542607069,-4.334976739999999,12829,3,0.06275686621665955,-0.08032435178756714,780,42625,2.30092453956604,42726,44.79,0.0003
0.0045722550712525845,-4.346169229999999,12859,3,0.06747865676879883,1.0829185247421265,784,42804,2.2759547233581543,42905,44.89,0.0003
0.004668260924518108,-4.4021772299999995,12887,3,0.0689598023891449,0.559108555316925,788,42972,2.3909220695495605,43073,45.17,0.0003
0.0046790586784482,-4.49113536,12917,3,0.060428425669670105,-0.21258679032325745,792,43147,2.3702290058135986,43248,45.43,0.0003
0.004706252366304398,-4.54339227,12946,3,0.09580077230930328,0.9799679517745972,796,43317,2.3428359031677246,43418,45.87,0.0003
