train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss
69559,51772,-10.067632739999999,69660,764,-2.7487964630126953,0.0003,1,0.05505216121673584,0.0034987758845090866,75.23,9.357595443725586
69794,52010,-9.93952184,69895,768,0.35048824548721313,0.0003,1,0.053118087351322174,0.0035139441024512053,74.58,9.549797058105469
70084,52305,-9.813353059999999,70185,772,-0.2554870843887329,0.0003,1,0.07713228464126587,0.003597808303311467,74.25,9.290797233581543
70357,52582,-9.861119389999999,70458,776,1.2910634279251099,0.0003,1,0.05745890736579895,0.003574016969650984,74.79,9.547943115234375
70635,52865,-9.72992326,70736,780,-1.9622974395751953,0.0003,1,0.04514756798744202,0.003600592026486993,73.98,9.22482967376709
70953,53187,-9.827317799999998,71054,784,-0.210313081741333,0.0003,1,0.18222063779830933,0.0035692057572305202,74.37,9.599346160888672
71210,53446,-9.947157149999999,71311,788,0.6313095688819885,0.0003,1,0.11260824650526047,0.0035708569921553135,74.51,9.417613983154297
71554,53795,-9.94130046,71655,792,-0.49065738916397095,0.0003,1,0.060302987694740295,0.0035412374418228865,73.95,8.955373764038086
71917,54163,-10.01298877,72018,796,-0.3473781943321228,0.0003,1,0.2328394055366516,0.0035732875112444162,74.8,9.528974533081055
72140,54390,-9.7922391,72241,800,0.7198065519332886,0.0003,1,0.30410659313201904,0.003636429086327553,73.65,9.194684028625488
72338,54592,-9.65137462,72439,804,-1.1360965967178345,0.0003,1,0.06605199724435806,0.0036683855578303337,72.86,9.154542922973633
