rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/n_updates
-2.36417983,0.05063078552484512,75424,0.0003,2152,1.6226279735565186,0.003886033082380891,1,-1.0899757146835327,47293,18.0,75323
-2.36678153,0.034662339836359024,75502,0.0003,2156,1.59578275680542,0.0038741864264011383,1,-0.251916766166687,47374,17.78,75401
-2.35661236,0.03717329353094101,75557,0.0003,2160,1.5650092363357544,0.0038668944034725428,1,0.06690576672554016,47433,17.79,75456
-2.3561106000000005,0.02853163331747055,75640,0.0003,2164,1.5819542407989502,0.0038693733513355255,1,0.7504393458366394,47519,17.8,75539
-2.37158828,0.019644659012556076,75747,0.0003,2168,1.5896964073181152,0.0038959351368248463,1,-0.2595633268356323,47629,18.37,75646
-2.35526347,0.04814905300736427,75793,0.0003,2172,1.597728967666626,0.0038933297619223595,1,0.6978892683982849,47678,18.34,75692
-2.3388871399999998,0.013903590850532055,75833,0.0003,2176,1.6888506412506104,0.003887452883645892,1,-0.08885808289051056,47722,18.21,75732
-2.3553577599999995,0.01196015253663063,75902,0.0003,2180,1.6305011510849,0.003899676725268364,1,0.48351675271987915,47795,18.17,75801
-2.3669511800000005,0.041488707065582275,75989,0.0003,2184,1.6637426614761353,0.003876361297443509,1,-1.1319044828414917,47885,18.33,75888
-2.34946731,0.016745030879974365,76031,0.0003,2188,1.6231355667114258,0.003850474487990141,1,0.4825212359428406,47931,17.51,75930
-2.34169431,0.021782679483294487,76124,0.0003,2192,1.739301085472107,0.003861432895064354,1,0.30065447092056274,48027,17.54,76023
-2.3441088499999996,0.020186781883239746,76211,0.0003,2196,1.552749514579773,0.0038478646893054247,1,-0.9423112273216248,48118,17.84,76110
-2.35788973,0.025727787986397743,76288,0.0003,2200,1.5729851722717285,0.003823715727776289,1,-0.3007158041000366,48198,17.45,76187
-2.34000858,0.011629162356257439,76343,0.0003,2204,1.6922577619552612,0.003846400650218129,1,-0.6274416446685791,48257,17.32,76242
-2.28716116,0.020281285047531128,76405,0.0003,2208,1.636420726776123,0.003852211870253086,1,-0.5992562174797058,48323,17.01,76304
-2.08456069,0.01850537583231926,76453,0.0003,2212,1.6574419736862183,0.0038457552436739206,1,0.36584073305130005,48375,16.3,76352
-2.06763598,0.021880578249692917,76500,0.0003,2216,1.6555206775665283,0.003822909900918603,1,0.07618261873722076,48424,16.22,76399
-2.0780966899999997,0.01550365425646305,76623,0.0003,2220,1.6509780883789062,0.003839953802525997,1,0.43567290902137756,48551,16.63,76522
-2.0808267799999998,0.019317783415317535,76694,0.0003,2224,1.640679121017456,0.0038689563516527414,1,-0.39300692081451416,48625,16.54,76593
-2.1188228900000006,0.013731351122260094,76754,0.0003,2228,1.572514533996582,0.0038779310416430235,1,-0.6219576597213745,48687,16.7,76653
-2.11343732,0.023950375616550446,76805,0.0003,2232,1.641040325164795,0.0039027275051921606,1,0.5448108911514282,48742,16.68,76704
-2.10441403,0.025481905788183212,76874,0.0003,2236,1.6852810382843018,0.0038842547219246626,1,1.44015634059906,48814,16.59,76773
-2.09114747,0.02063240110874176,76924,0.0003,2240,1.7057974338531494,0.003907932434231043,1,1.394224762916565,48867,16.58,76823
-2.0650558500000002,0.021553732454776764,76994,0.0003,2244,1.72135329246521,0.0038891159929335117,1,0.589916467666626,48939,16.67,76893
-2.1566406900000006,0.020429017022252083,77074,0.0003,2248,1.559224009513855,0.0038771044928580523,1,0.06304377317428589,49024,17.0,76973
-2.1306781900000002,0.018466506153345108,77135,0.0003,2252,1.5413786172866821,0.0038819327019155025,1,-0.6449244618415833,49088,17.11,77034
-2.1254972700000003,0.035127878189086914,77208,0.0003,2256,1.59585440158844,0.003892191918566823,1,-0.07252621650695801,49165,17.06,77107
-2.14848038,0.029122088104486465,77323,0.0003,2260,1.5965865850448608,0.00389942922629416,1,0.23532967269420624,49283,17.66,77222
-2.15323478,0.01654987782239914,77405,0.0003,2264,1.8161171674728394,0.003887343453243375,1,-0.024492010474205017,49369,17.65,77304
-2.15495462,0.028157168999314308,77512,0.0003,2268,1.7347757816314697,0.003878493094816804,1,1.0824708938598633,49480,17.65,77411
-2.1706500699999998,0.027726253494620323,77581,0.0003,2272,1.5447183847427368,0.003888173960149288,1,-0.6683746576309204,49553,17.88,77480
-2.18155855,0.027997296303510666,77657,0.0003,2276,1.497441053390503,0.003896035486832261,1,-1.2884104251861572,49632,18.24,77556
-2.1990644599999998,0.014602838084101677,77760,0.0003,2280,1.5906504392623901,0.003909766208380461,1,0.31641003489494324,49738,18.58,77659
-2.2119581,0.06164024397730827,77866,0.0003,2284,1.6517871618270874,0.003918471280485392,1,0.8212488889694214,49848,18.77,77765
-2.24617277,0.018786121159791946,77982,0.0003,2288,1.5987385511398315,0.003943649120628834,1,-1.9068803787231445,49967,19.51,77881
-2.2707247099999996,0.016808561980724335,78038,0.0003,2292,1.7014529705047607,0.00392622547224164,1,-0.15941056609153748,50026,19.14,77937
-2.23310869,0.015203620307147503,78082,0.0003,2296,1.632489800453186,0.00391688896343112,1,-0.6166000366210938,50074,18.71,77981
