time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/n_updates,rollout/ep_rew_mean
1,0.0031587411649525166,11.831459045410156,46530,58305,0.04281628876924515,-0.9977121353149414,95.66,588,0.0003,58204,-19.74675816
1,0.0031566903926432133,11.892050743103027,46871,58643,0.16661334037780762,-0.20116674900054932,95.04,592,0.0003,58542,-19.675256329999996
1,0.0031913367565721273,12.333507537841797,47276,59043,0.060731031000614166,3.2407467365264893,95.04,596,0.0003,58942,-19.688843579999997
1,0.0032266280613839626,12.164219856262207,47614,59377,0.05194941908121109,0.2409370243549347,94.38,600,0.0003,59276,-19.61007324
1,0.00335583440028131,12.233858108520508,48017,59777,0.05566077679395676,-0.328875333070755,95.03,604,0.0003,59676,-19.796945140000002
1,0.003290975233539939,12.460145950317383,48366,60121,0.05337223410606384,2.8922312259674072,94.47,608,0.0003,60020,-19.812490349999997
1,0.0033155041746795177,12.523038864135742,48769,60521,0.050406694412231445,0.4061015844345093,95.11,612,0.0003,60420,-19.79844355
1,0.0034299814142286777,12.611250877380371,49174,60921,0.06207326054573059,-2.325413227081299,95.34,616,0.0003,60820,-19.761841829999998
1,0.0034654983319342136,12.78268051147461,49524,61266,0.4335266053676605,1.227009892463684,95.46,620,0.0003,61165,-19.776818629999998
1,0.003401115071028471,12.696422576904297,49929,61666,0.05713493749499321,0.73345547914505,95.46,624,0.0003,61565,-19.679432300000002
1,0.003338009351864457,12.611949920654297,50332,62066,0.05955982580780983,-0.2383960485458374,95.46,628,0.0003,61965,-19.657732969999998
1,0.0033894325606524944,12.902510643005371,50633,62362,0.41148635745048523,0.3359059989452362,94.42,632,0.0003,62261,-19.41390006
1,0.003426922718062997,12.924424171447754,51036,62762,0.0582549162209034,-3.392747163772583,94.42,636,0.0003,62661,-19.311077060000002
1,0.0033687069080770016,13.23619556427002,51441,63162,0.07356326282024384,5.3684282302856445,94.42,640,0.0003,63061,-19.214598050000003
1,0.003443374764174223,12.913763046264648,51844,63562,0.39290350675582886,-1.4967327117919922,94.95,644,0.0003,63461,-19.64428389
1,0.003411655081436038,13.086139678955078,52021,63919,0.06547190248966217,-0.625425398349762,94.52,648,0.0003,63818,-19.554427609999998
1,0.003533178474754095,13.157332420349121,52087,64319,0.053728748112916946,-0.4885595440864563,94.52,652,0.0003,64218,-19.42891667
1,0.003568412736058235,13.49112606048584,52157,64719,0.0508052334189415,-0.487570196390152,94.52,656,0.0003,64618,-19.655153830000003
1,0.0035343209747225046,13.208032608032227,52223,65119,0.06754650175571442,-3.426955461502075,95.08,660,0.0003,65018,-19.72488965
1,0.003578271484002471,13.064677238464355,52281,65462,0.053869009017944336,2.642972707748413,94.81,664,0.0003,65361,-19.701382360000004
1,0.0036616711877286434,13.002002716064453,52336,65800,0.32462263107299805,-0.4882811903953552,94.54,668,0.0003,65699,-19.49509523
1,0.003604094497859478,13.304383277893066,52406,66200,0.056560590863227844,-0.24375861883163452,94.54,672,0.0003,66099,-19.374532110000004
1,0.003610815154388547,13.160608291625977,52472,66585,0.06090507656335831,0.35447871685028076,94.39,676,0.0003,66484,-19.16726164
1,0.0036598294973373413,13.362236022949219,52542,66985,0.08189935982227325,1.1373907327651978,94.39,680,0.0003,66884,-19.318577209999997
